"line_id","order_id","so_number","product_code","quantity","unit_price","line_total","created_at"
22,10,BH25.0010,"1000270020220000",3.00,500000.00,1500000.00,2026-05-19 22:11:27.114 +0700
23,10,BH25.0010,"000117002023000",5.00,500000.00,2500000.00,2026-05-19 22:11:27.114 +0700
24,10,BH25.0010,"000117002023000",10.00,500000.00,5000000.00,2026-05-19 22:11:27.114 +0700
25,10,BH25.0010,"1000210020090000",3.00,470000.00,1410000.00,2026-05-19 22:11:27.114 +0700
26,10,BH25.0010,"1000220020090000",3.00,500000.00,1500000.00,2026-05-19 22:11:27.114 +0700
27,10,BH25.0010,"1040010000080000",3.00,1231481.48,3694444.00,2026-05-19 22:11:27.114 +0700
28,11,BH25.0011,"000218002007000",1.00,2305555.56,2305556.00,2026-05-19 22:11:27.114 +0700
29,17,BH25.0012,"000226003015000",1.00,2592592.59,2592593.00,2026-05-19 22:11:27.114 +0700
30,16,BH25.0013,"000225002007000",1.00,2490740.74,2490741.00,2026-05-19 22:11:27.114 +0700
31,18,BH25.0014,"000224002009000",2.00,1130000.00,2260000.00,2026-05-19 22:11:27.114 +0700
32,18,BH25.0014,"000224002002000",3.00,1130000.00,3390000.00,2026-05-19 22:11:27.114 +0700
33,18,BH25.0014,"000224002015000",2.00,1130000.00,2260000.00,2026-05-19 22:11:27.114 +0700
34,18,BH25.0014,"000225002023000",3.00,1180000.00,3540000.00,2026-05-19 22:11:27.114 +0700
35,18,BH25.0014,"000225002002000",4.00,1180000.00,4720000.00,2026-05-19 22:11:27.114 +0700
36,18,BH25.0014,"000225002015000",3.00,1180000.00,3540000.00,2026-05-19 22:11:27.114 +0700
37,18,BH25.0014,"000225002025000",2.00,1180000.00,2360000.00,2026-05-19 22:11:27.114 +0700
38,18,BH25.0014,"000125002009000",2.00,1050000.00,2100000.00,2026-05-19 22:11:27.114 +0700
39,18,BH25.0014,"000125002002000",1.00,1050000.00,1050000.00,2026-05-19 22:11:27.114 +0700
40,18,BH25.0014,"1000240020090000",3.00,500000.00,1500000.00,2026-05-19 22:11:27.114 +0700
41,18,BH25.0014,"1000240020220000",2.00,500000.00,1000000.00,2026-05-19 22:11:27.114 +0700
42,18,BH25.0014,"1000230020090000",3.00,470000.00,1410000.00,2026-05-19 22:11:27.114 +0700
43,18,BH25.0014,"1000220020090000",3.00,500000.00,1500000.00,2026-05-19 22:11:27.114 +0700
44,18,BH25.0014,"1000220020220000",1.00,500000.00,500000.00,2026-05-19 22:11:27.114 +0700
45,18,BH25.0014,"1000270020220000",3.00,500000.00,1500000.00,2026-05-19 22:11:27.114 +0700
46,18,BH25.0014,"000217003001000",3.00,1250000.00,3750000.00,2026-05-19 22:11:27.114 +0700
47,18,BH25.0014,"000217003008000",2.00,1250000.00,2500000.00,2026-05-19 22:11:27.114 +0700
48,18,BH25.0014,"000333002001000",2.00,1300000.00,2600000.00,2026-05-19 22:11:27.114 +0700
49,18,BH25.0014,"000333002022000",1.00,1300000.00,1300000.00,2026-05-19 22:11:27.114 +0700
50,14,BH25.0015,"1000300050010000",1.00,2150000.00,2150000.00,2026-05-19 22:11:27.114 +0700
51,14,BH25.0015,"1000300050080000",1.00,2150000.00,2150000.00,2026-05-19 22:11:27.114 +0700
52,14,BH25.0015,"1000300050080000",3.00,2150000.00,6450000.00,2026-05-19 22:11:27.114 +0700
53,14,BH25.0015,"000217003005000",1.00,1250000.00,1250000.00,2026-05-19 22:11:27.114 +0700
54,14,BH25.0015,"000217003001000",2.00,1250000.00,2500000.00,2026-05-19 22:11:27.114 +0700
55,14,BH25.0015,"000218003008000",1.00,1270000.00,1270000.00,2026-05-19 22:11:27.114 +0700
56,14,BH25.0015,"000218003001000",2.00,1270000.00,2540000.00,2026-05-19 22:11:27.114 +0700
57,14,BH25.0015,"000218003005000",1.00,1270000.00,1270000.00,2026-05-19 22:11:27.114 +0700
58,14,BH25.0015,"000214004000000",2.00,1250000.00,2500000.00,2026-05-19 22:11:27.114 +0700
59,14,BH25.0015,"000224002026000",1.00,1130000.00,1130000.00,2026-05-19 22:11:27.114 +0700
60,15,BH25.0016,"000226003015000",1.00,1200000.00,1200000.00,2026-05-19 22:11:27.114 +0700
61,15,BH25.0016,"000225002023000",5.00,1180000.00,5900000.00,2026-05-19 22:11:27.114 +0700
62,15,BH25.0016,"000224002023000",3.00,1130000.00,3390000.00,2026-05-19 22:11:27.114 +0700
63,15,BH25.0016,"000216003008000",2.00,1200000.00,2400000.00,2026-05-19 22:11:27.114 +0700
64,15,BH25.0016,"000226003023000",1.00,1200000.00,1200000.00,2026-05-19 22:11:27.114 +0700
65,15,BH25.0016,"000225002002000",2.00,1180000.00,2360000.00,2026-05-19 22:11:27.114 +0700
66,15,BH25.0016,"000225002025000",1.00,1180000.00,1180000.00,2026-05-19 22:11:27.114 +0700
67,15,BH25.0016,"000401002022000",10.00,1300000.00,13000000.00,2026-05-19 22:11:27.114 +0700
68,15,BH25.0016,"000216003001000",3.00,1200000.00,3600000.00,2026-05-19 22:11:27.114 +0700
69,15,BH25.0016,"000331002022000",2.00,1250000.00,2500000.00,2026-05-19 22:11:27.114 +0700
70,13,BH25.0017,"000225002023000",5.00,1180000.00,5900000.00,2026-05-19 22:11:27.114 +0700
71,13,BH25.0017,"000225002002000",5.00,1180000.00,5900000.00,2026-05-19 22:11:27.114 +0700
72,13,BH25.0017,"000225002009000",5.00,1180000.00,5900000.00,2026-05-19 22:11:27.114 +0700
73,13,BH25.0017,"000224002002000",2.00,1130000.00,2260000.00,2026-05-19 22:11:27.114 +0700
74,13,BH25.0017,"000224002023000",2.00,1130000.00,2260000.00,2026-05-19 22:11:27.114 +0700
75,13,BH25.0017,"000224002009000",1.00,1130000.00,1130000.00,2026-05-19 22:11:27.114 +0700
76,12,BH25.0018,"000226003002000",1.00,1200000.00,1200000.00,2026-05-19 22:11:27.114 +0700
77,12,BH25.0018,"000330002001000",1.00,1200000.00,1200000.00,2026-05-19 22:11:27.114 +0700
78,12,BH25.0018,"000224002015000",1.00,1130000.00,1130000.00,2026-05-19 22:11:27.114 +0700
79,12,BH25.0018,"000224002026000",1.00,1130000.00,1130000.00,2026-05-19 22:11:27.114 +0700
80,12,BH25.0018,"000225002023000",2.00,1180000.00,2360000.00,2026-05-19 22:11:27.114 +0700
81,12,BH25.0018,"000125002009000",1.00,1050000.00,1050000.00,2026-05-19 22:11:27.114 +0700
82,12,BH25.0018,"000125002013000",1.00,1050000.00,1050000.00,2026-05-19 22:11:27.114 +0700
83,12,BH25.0018,"000333002001000",1.00,1300000.00,1300000.00,2026-05-19 22:11:27.114 +0700
84,12,BH25.0018,"000333002022000",1.00,1300000.00,1300000.00,2026-05-19 22:11:27.114 +0700
85,12,BH25.0018,"000226003014000",1.00,1200000.00,1200000.00,2026-05-19 22:11:27.114 +0700
86,12,BH25.0018,"000314002005000",10.00,1200000.00,12000000.00,2026-05-19 22:11:27.114 +0700
87,19,BH25.0019,"1000210020090000",4.00,1062314.81,4249259.00,2026-05-19 22:11:27.114 +0700
88,19,BH25.0019,"1000340010090000",4.00,1418796.30,5675185.00,2026-05-19 22:11:27.114 +0700
89,19,BH25.0019,"1000250020050000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
90,19,BH25.0019,"1000330010240000",4.00,1490092.59,5960370.00,2026-05-19 22:11:27.114 +0700
91,19,BH25.0019,"1040010000080000",4.00,1490092.59,5960370.00,2026-05-19 22:11:27.114 +0700
92,19,BH25.0019,"000124002009000",1.00,1775277.78,1775278.00,2026-05-19 22:11:27.114 +0700
93,19,BH25.0019,"1000320010090000",4.00,1703981.48,6815926.00,2026-05-19 22:11:27.114 +0700
94,19,BH25.0019,"000226003015000",3.00,1996296.30,5988889.00,2026-05-19 22:11:27.114 +0700
95,19,BH25.0019,"000227002009000",1.00,1846574.07,1846574.00,2026-05-19 22:11:27.114 +0700
96,19,BH25.0019,"000330002002200",2.00,1917870.37,3835741.00,2026-05-19 22:11:27.114 +0700
97,19,BH25.0019,"000231003002000",5.00,2844722.22,14223611.00,2026-05-19 22:11:27.114 +0700
98,19,BH25.0019,"000217003005000",1.00,1846574.07,1846574.00,2026-05-19 22:11:27.114 +0700
99,19,BH25.0019,"000225002007000",1.00,1917870.37,1917870.00,2026-05-19 22:11:27.114 +0700
100,20,BH25.0020,"000331002008000",30.00,2076388.88,62291666.00,2026-05-19 22:11:27.114 +0700
101,20,BH25.0020,"000331002022000",30.00,2076388.88,62291666.00,2026-05-19 22:11:27.114 +0700
102,21,BH25.0021,"000218002007000",40.00,2175925.92,87037037.00,2026-05-19 22:11:27.114 +0700
103,22,BH25.0022,"1000210020090000",1.00,1062314.81,1062315.00,2026-05-19 22:11:27.114 +0700
104,22,BH25.0022,"1000340010090000",2.00,1418796.30,2837593.00,2026-05-19 22:11:27.114 +0700
105,22,BH25.0022,"1000220020220000",2.00,1133611.11,2267222.00,2026-05-19 22:11:27.114 +0700
106,22,BH25.0022,"1000250020050000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
107,22,BH25.0022,"1000270020150000",2.00,1133611.11,2267222.00,2026-05-19 22:11:27.114 +0700
108,22,BH25.0022,"1000330010240000",2.00,1490092.59,2980185.00,2026-05-19 22:11:27.114 +0700
109,22,BH25.0022,"1040010000080000",1.00,1490092.59,1490093.00,2026-05-19 22:11:27.114 +0700
110,22,BH25.0022,"1000320010090000",2.00,1703981.48,3407963.00,2026-05-19 22:11:27.114 +0700
111,22,BH25.0022,"000304002004000",2.00,1960648.15,3921296.00,2026-05-19 22:11:27.114 +0700
112,22,BH25.0022,"000330002002200",2.00,1917870.37,3835741.00,2026-05-19 22:11:27.114 +0700
113,22,BH25.0022,"000314002019000",1.00,2488240.74,2488241.00,2026-05-19 22:11:27.114 +0700
114,22,BH25.0022,"000231003002000",1.00,2844722.22,2844722.00,2026-05-19 22:11:27.114 +0700
115,22,BH25.0022,"000217003005000",1.00,1846574.07,1846574.00,2026-05-19 22:11:27.114 +0700
116,22,BH25.0022,"000225002007000",2.00,1917870.37,3835741.00,2026-05-19 22:11:27.114 +0700
117,23,BH25.0023,"1000210020090000",4.00,1062314.81,4249259.00,2026-05-19 22:11:27.114 +0700
118,23,BH25.0023,"1000340010090000",4.00,1418796.30,5675185.00,2026-05-19 22:11:27.114 +0700
119,23,BH25.0023,"1000220020220000",2.00,1133611.11,2267222.00,2026-05-19 22:11:27.114 +0700
120,23,BH25.0023,"1000330010240000",4.00,1490092.59,5960370.00,2026-05-19 22:11:27.114 +0700
121,23,BH25.0023,"1000270020150000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
122,23,BH25.0023,"1000320010090000",4.00,1703981.48,6815926.00,2026-05-19 22:11:27.114 +0700
123,23,BH25.0023,"000304002004000",1.00,1960648.15,1960648.00,2026-05-19 22:11:27.114 +0700
124,23,BH25.0023,"000330002002200",4.00,1917870.37,7671481.00,2026-05-19 22:11:27.114 +0700
125,23,BH25.0023,"000217003005000",3.00,1846574.07,5539722.00,2026-05-19 22:11:27.114 +0700
126,23,BH25.0023,"000231003002000",3.00,2844722.22,8534167.00,2026-05-19 22:11:27.114 +0700
127,23,BH25.0023,"000217004005000",1.00,2488240.74,2488241.00,2026-05-19 22:11:27.114 +0700
128,23,BH25.0023,"000225002007000",2.00,1917870.37,3835741.00,2026-05-19 22:11:27.114 +0700
129,24,BH25.0024,"1000210020090000",3.00,1062314.81,3186944.00,2026-05-19 22:11:27.114 +0700
130,24,BH25.0024,"1000250020050000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
131,24,BH25.0024,"1000270020150000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
132,24,BH25.0024,"1040010000080000",2.00,1490092.59,2980185.00,2026-05-19 22:11:27.114 +0700
133,24,BH25.0024,"000123002009000",2.00,1561388.89,3122778.00,2026-05-19 22:11:27.114 +0700
134,24,BH25.0024,"000124002009000",3.00,1775277.78,5325833.00,2026-05-19 22:11:27.114 +0700
135,24,BH25.0024,"1000320010090000",1.00,1703981.48,1703981.00,2026-05-19 22:11:27.114 +0700
136,24,BH25.0024,"000330002002200",1.00,1917870.37,1917870.00,2026-05-19 22:11:27.114 +0700
137,24,BH25.0024,"000231003002000",1.00,2844722.22,2844722.00,2026-05-19 22:11:27.114 +0700
138,24,BH25.0024,"000217003005000",3.00,1846574.07,5539722.00,2026-05-19 22:11:27.114 +0700
139,24,BH25.0024,"000217004005000",3.00,2488240.74,7464722.00,2026-05-19 22:11:27.114 +0700
140,25,BH25.0025,"1000210020090000",9.00,1062314.81,9560833.00,2026-05-19 22:11:27.114 +0700
141,25,BH25.0025,"1000340010090000",1.00,1418796.30,1418796.00,2026-05-19 22:11:27.114 +0700
142,25,BH25.0025,"1000220020090000",3.00,1133611.11,3400833.00,2026-05-19 22:11:27.114 +0700
143,25,BH25.0025,"1000270020220000",2.00,1133611.11,2267222.00,2026-05-19 22:11:27.114 +0700
144,25,BH25.0025,"1000250020220000",6.00,1133611.11,6801667.00,2026-05-19 22:11:27.114 +0700
145,25,BH25.0025,"1040010000080000",4.00,1490092.59,5960370.00,2026-05-19 22:11:27.114 +0700
146,25,BH25.0025,"1000330010240000",1.00,1490092.59,1490093.00,2026-05-19 22:11:27.114 +0700
147,25,BH25.0025,"000123002009000",3.00,1561388.89,4684167.00,2026-05-19 22:11:27.114 +0700
148,25,BH25.0025,"000124002009000",7.00,1775277.78,12426944.00,2026-05-19 22:11:27.114 +0700
149,25,BH25.0025,"1000320010090000",1.00,1703981.48,1703981.00,2026-05-19 22:11:27.114 +0700
150,25,BH25.0025,"000131002007000",9.00,1418796.30,12769167.00,2026-05-19 22:11:27.114 +0700
151,25,BH25.0025,"000304002004000",3.00,1960648.15,5881944.00,2026-05-19 22:11:27.114 +0700
152,25,BH25.0025,"000226003015000",9.00,1996296.30,17966667.00,2026-05-19 22:11:27.114 +0700
153,25,BH25.0025,"000330002002200",1.00,1917870.37,1917870.00,2026-05-19 22:11:27.114 +0700
154,25,BH25.0025,"000314002020000",4.00,2488240.74,9952963.00,2026-05-19 22:11:27.114 +0700
155,25,BH25.0025,"000231003002000",2.00,2844722.22,5689444.00,2026-05-19 22:11:27.114 +0700
156,25,BH25.0025,"000217003001000",6.00,1846574.07,11079444.00,2026-05-19 22:11:27.114 +0700
157,25,BH25.0025,"000217004008000",2.00,2488240.74,4976481.00,2026-05-19 22:11:27.114 +0700
158,25,BH25.0025,"000225002004000",7.00,1917870.37,13425093.00,2026-05-19 22:11:27.114 +0700
159,26,BH25.0026,"1000220020090000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
160,26,BH25.0026,"1040010000080000",1.00,1490092.59,1490093.00,2026-05-19 22:11:27.114 +0700
161,26,BH25.0026,"000123002009000",2.00,1561388.89,3122778.00,2026-05-19 22:11:27.114 +0700
162,26,BH25.0026,"000304002004000",1.00,1960648.15,1960648.00,2026-05-19 22:11:27.114 +0700
163,26,BH25.0026,"000330002002200",1.00,1917870.37,1917870.00,2026-05-19 22:11:27.114 +0700
164,26,BH25.0026,"000231003002000",1.00,2844722.22,2844722.00,2026-05-19 22:11:27.114 +0700
165,26,BH25.0026,"000226003015000",1.00,1996296.30,1996296.00,2026-05-19 22:11:27.114 +0700
166,27,BH25.0027,"000226003015000",8.00,1996296.30,15970370.00,2026-05-19 22:11:27.114 +0700
167,27,BH25.0027,"000225002004000",7.00,1917870.37,13425093.00,2026-05-19 22:11:27.114 +0700
168,32,BH25.0028,"1000210020090000",1.00,1062314.81,1062315.00,2026-05-19 22:11:27.114 +0700
169,32,BH25.0028,"1000340010090000",2.00,1418796.30,2837593.00,2026-05-19 22:11:27.114 +0700
170,32,BH25.0028,"1000220020090000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
171,32,BH25.0028,"1000330010240000",2.00,1490092.59,2980185.00,2026-05-19 22:11:27.114 +0700
172,32,BH25.0028,"1040010000080000",1.00,1490092.59,1490093.00,2026-05-19 22:11:27.114 +0700
173,32,BH25.0028,"000225002004000",2.00,1917870.37,3835741.00,2026-05-19 22:11:27.114 +0700
174,32,BH25.0028,"1000320010090000",2.00,1703981.48,3407963.00,2026-05-19 22:11:27.114 +0700
175,32,BH25.0028,"000226003015000",2.00,1996296.30,3992593.00,2026-05-19 22:11:27.114 +0700
176,32,BH25.0028,"000227002009000",1.00,1846574.07,1846574.00,2026-05-19 22:11:27.114 +0700
177,32,BH25.0028,"000231003002000",2.00,2844722.22,5689444.00,2026-05-19 22:11:27.114 +0700
178,35,BH25.0029,"1000210020090000",3.00,1062314.81,3186944.00,2026-05-19 22:11:27.114 +0700
179,35,BH25.0029,"1000340010090000",6.00,1418796.30,8512778.00,2026-05-19 22:11:27.114 +0700
180,35,BH25.0029,"1000220020090000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
181,35,BH25.0029,"1000250020220000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
182,35,BH25.0029,"1000270020220000",3.00,1133611.11,3400833.00,2026-05-19 22:11:27.114 +0700
183,35,BH25.0029,"1000330010240000",6.00,1490092.59,8940556.00,2026-05-19 22:11:27.114 +0700
184,35,BH25.0029,"1040010000080000",2.00,1490092.59,2980185.00,2026-05-19 22:11:27.114 +0700
185,35,BH25.0029,"1000320010090000",6.00,1703981.48,10223889.00,2026-05-19 22:11:27.114 +0700
186,35,BH25.0029,"000226003015000",3.00,1996296.30,5988889.00,2026-05-19 22:11:27.114 +0700
187,35,BH25.0029,"000227002009000",1.00,1846574.07,1846574.00,2026-05-19 22:11:27.114 +0700
188,35,BH25.0029,"000330002002200",2.00,1917870.37,3835741.00,2026-05-19 22:11:27.114 +0700
189,35,BH25.0029,"000231003002000",5.00,2844722.22,14223611.00,2026-05-19 22:11:27.114 +0700
190,35,BH25.0029,"000217003001000",2.00,1846574.07,3693148.00,2026-05-19 22:11:27.114 +0700
191,35,BH25.0029,"000225002004000",7.00,1917870.37,13425093.00,2026-05-19 22:11:27.114 +0700
192,34,BH25.0030,"1000210020090000",2.00,1062314.81,2124630.00,2026-05-19 22:11:27.114 +0700
193,34,BH25.0030,"1000340010090000",5.00,1418796.30,7093982.00,2026-05-19 22:11:27.114 +0700
194,34,BH25.0030,"1000220020090000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
195,34,BH25.0030,"1000250020220000",1.00,1133611.11,1133611.00,2026-05-19 22:11:27.114 +0700
196,34,BH25.0030,"1000270020220000",3.00,1133611.11,3400833.00,2026-05-19 22:11:27.114 +0700
197,34,BH25.0030,"1000330010240000",5.00,1490092.59,7450463.00,2026-05-19 22:11:27.114 +0700
198,34,BH25.0030,"000124002009000",2.00,1775277.78,3550556.00,2026-05-19 22:11:27.114 +0700
199,34,BH25.0030,"1000320010090000",2.00,1703981.48,3407963.00,2026-05-19 22:11:27.114 +0700
200,34,BH25.0030,"000226003015000",2.00,1996296.30,3992593.00,2026-05-19 22:11:27.114 +0700
201,34,BH25.0030,"000227002009000",3.00,1846574.07,5539722.00,2026-05-19 22:11:27.114 +0700
202,34,BH25.0030,"000330002002200",2.00,1917870.37,3835741.00,2026-05-19 22:11:27.114 +0700
203,34,BH25.0030,"000231003002000",1.00,2844722.22,2844722.00,2026-05-19 22:11:27.114 +0700
204,34,BH25.0030,"000217003001000",3.00,1846574.07,5539722.00,2026-05-19 22:11:27.114 +0700
205,34,BH25.0030,"000217004008000",5.00,2488240.74,12441204.00,2026-05-19 22:11:27.114 +0700
206,34,BH25.0030,"000225002004000",4.00,1917870.37,7671481.00,2026-05-19 22:11:27.114 +0700
207,33,BH25.0031,"000413002001000",1.00,1450000.00,1450000.00,2026-05-19 22:11:27.114 +0700
208,33,BH25.0031,"000413002003000",2.00,1450000.00,2900000.00,2026-05-19 22:11:27.114 +0700
209,33,BH25.0031,"000413002022000",2.00,1450000.00,2900000.00,2026-05-19 22:11:27.114 +0700
210,36,BH25.0032,"000208002007000",101.00,1498148.14,151312962.00,2026-05-19 22:11:27.114 +0700
211,36,BH25.0032,"000216002007000",89.00,1498148.14,133335184.00,2026-05-19 22:11:27.114 +0700
212,31,BH25.0033,"000331002008000",14.00,1250000.00,17500000.00,2026-05-19 22:11:27.114 +0700
213,31,BH25.0033,"000331002022000",14.00,1250000.00,17500000.00,2026-05-19 22:11:27.114 +0700
214,31,BH25.0033,"000216003005000",3.00,1200000.00,3600000.00,2026-05-19 22:11:27.114 +0700
215,31,BH25.0033,"000216003008000",2.00,1200000.00,2400000.00,2026-05-19 22:11:27.114 +0700
216,31,BH25.0033,"000216003001000",2.00,1200000.00,2400000.00,2026-05-19 22:11:27.114 +0700
217,31,BH25.0033,"000207004000000",10.00,1250000.00,12500000.00,2026-05-19 22:11:27.114 +0700
218,28,BH25.0034,"000217002007000",6.00,2212962.96,13277778.00,2026-05-19 22:11:27.114 +0700
219,30,BH25.0035,"000226003015000",3.00,2592592.59,7777778.00,2026-05-19 22:11:27.114 +0700
220,29,BH25.0036,"100029005001000",2.00,3222643.10,6445286.00,2026-05-19 22:11:27.114 +0700
221,29,BH25.0036,"100029005020000",3.00,3222643.10,9667929.00,2026-05-19 22:11:27.114 +0700
222,29,BH25.0036,"000208002007000",2.00,1100000.00,2200000.00,2026-05-19 22:11:27.114 +0700
223,29,BH25.0036,"000208002023000",2.00,1100000.00,2200000.00,2026-05-19 22:11:27.114 +0700
224,29,BH25.0036,"000209002025000",2.00,1150000.00,2300000.00,2026-05-19 22:11:27.114 +0700
225,29,BH25.0036,"1000260020220000",1.00,470000.00,470000.00,2026-05-19 22:11:27.114 +0700
226,29,BH25.0036,"000333002022000",1.00,1300000.00,1300000.00,2026-05-19 22:11:27.114 +0700
227,37,BH25.0037,"000231003002000",25.00,1200000.00,30000000.00,2026-05-19 22:11:27.114 +0700
228,38,BH25.0038,"000335002013000",60.00,1200000.00,72000000.00,2026-05-19 22:11:27.114 +0700
229,39,BH25.0039,"000225002015000",3.00,1180000.00,3540000.00,2026-05-19 22:11:27.114 +0700
230,39,BH25.0039,"000225002023000",2.00,1180000.00,2360000.00,2026-05-19 22:11:27.114 +0700
231,39,BH25.0039,"000224002015000",1.00,1130000.00,1130000.00,2026-05-19 22:11:27.114 +0700
232,39,BH25.0039,"000224002023000",2.00,1130000.00,2260000.00,2026-05-19 22:11:27.114 +0700
233,39,BH25.0039,"000217003001000",1.00,1250000.00,1250000.00,2026-05-19 22:11:27.114 +0700
234,39,BH25.0039,"000217002001000",2.00,1150000.00,2300000.00,2026-05-19 22:11:27.114 +0700
235,39,BH25.0039,"000218002001000",2.00,1180000.00,2360000.00,2026-05-19 22:11:27.114 +0700
236,39,BH25.0039,"000214004000000",1.00,1250000.00,1250000.00,2026-05-19 22:11:27.114 +0700
237,39,BH25.0039,"000215004000000",2.00,1280000.00,2560000.00,2026-05-19 22:11:27.114 +0700
238,39,BH25.0039,"000335002001000",1.00,1200000.00,1200000.00,2026-05-19 22:11:27.114 +0700
239,39,BH25.0039,"000333002001000",10.00,1300000.00,13000000.00,2026-05-19 22:11:27.114 +0700
240,39,BH25.0039,"000324000180000",1.00,1300000.00,1300000.00,2026-05-19 22:11:27.114 +0700
241,45,BH25.0040,"000123002007000",2.00,2027777.78,4055556.00,2026-05-19 22:11:27.114 +0700
242,44,BH25.0041,"000225002002000",35.00,1805555.56,63194445.00,2026-05-19 22:11:27.114 +0700
243,44,BH25.0041,"000225002007000",35.00,1805555.56,63194445.00,2026-05-19 22:11:27.114 +0700
244,44,BH25.0041,"000225002015000",40.00,1805555.56,72222222.00,2026-05-19 22:11:27.114 +0700
245,44,BH25.0041,"000225002004000",40.00,1805555.56,72222222.00,2026-05-19 22:11:27.114 +0700
246,44,BH25.0041,"000329002005000",77.00,2592592.59,199629629.00,2026-05-19 22:11:27.114 +0700
247,44,BH25.0041,"000329002004001",78.00,2592592.59,202222222.00,2026-05-19 22:11:27.114 +0700
248,44,BH25.0041,"1000350050220000",1.00,4066666.67,4066667.00,2026-05-19 22:11:27.114 +0700
249,44,BH25.0041,"100028005020000",1.00,4066666.67,4066667.00,2026-05-19 22:11:27.114 +0700
250,46,BH25.0042,"000225002007000",1.00,1898148.00,1898148.00,2026-05-19 22:11:27.114 +0700
251,46,BH25.0042,"1050010000200000",1.00,1759259.00,1759259.00,2026-05-19 22:11:27.114 +0700
252,46,BH25.0042,"1000210020090000",3.00,1076111.00,3228333.00,2026-05-19 22:11:27.114 +0700
253,42,BH25.0043,"000224002004000",2.00,1842592.00,3685184.00,2026-05-19 22:11:27.114 +0700
254,42,BH25.0043,"000225002007000",5.00,1898148.00,9490740.00,2026-05-19 22:11:27.114 +0700
255,42,BH25.0043,"1000240020090000",3.00,1148333.00,3444999.00,2026-05-19 22:11:27.114 +0700
256,42,BH25.0043,"1000270020150000",3.00,1148333.00,3444999.00,2026-05-19 22:11:27.114 +0700
257,43,BH25.0044,"000226003015000",13.00,2037037.00,26481481.00,2026-05-19 22:11:27.114 +0700
258,41,BH25.0045,"000217003005000",1.00,2453703.70,2453704.00,2026-05-19 22:11:27.114 +0700
259,41,BH25.0045,"000217003008000",1.00,2453703.70,2453704.00,2026-05-19 22:11:27.114 +0700
260,40,BH25.0046,"1040010000080000",1.00,1935185.19,1935185.00,2026-05-19 22:11:27.114 +0700
261,47,BH25.0047,"000217002003000",5.00,2212962.96,11064815.00,2026-05-19 22:11:27.114 +0700
